away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
33.3,5,7.7,2,100.0,81.8,27,0.324,51,0.294,15,0.333,17,0.824,14,1,200,67.1,31.4,11,26,47,,8.6,6,0.412,21,0.143,3,55.9,38,0.398,27.3,22,30,0.4,12,0.0,0,"November 25, 2020",70.0,14,10.0,3,67.1,68.6,24,0.541,49,0.408,20,0.551,27,0.63,17,0,200,100.0,18.2,6,21,70,,11.4,8,0.469,23,0.565,13,44.1,30,0.566,19.8,15,26,0.269,7,1.0,1,"Germain Arena, Estero, Florida",EAST-TENNESSEE-STATE,ETSU,70.5,Home,ABILENE-CHRISTIAN,Abilene Christian
41.4,12,2.4,1,96.0,64.5,20,0.594,53,0.547,29,0.547,29,0.586,17,0,200,106.7,19.2,5,18,80,,16.0,12,0.17,9,0.556,5,43.9,25,0.599,18.6,15,44,0.545,24,1.0,2,"November 27, 2020",44.4,12,2.3,1,106.7,80.8,21,0.5,59,0.458,27,0.271,16,0.813,13,1,200,96.0,35.5,11,23,72,,2.7,2,0.288,17,0.294,5,56.1,32,0.541,21.4,18,42,0.524,22,0.667,2,"Germain Arena, Estero, Florida",AUSTIN-PEAY,Austin Peay,75.2,Away,ABILENE-CHRISTIAN,Abilene Christian
57.7,15,0.0,0,78.4,81.5,22,0.5,58,0.448,26,0.345,20,0.6,12,0,200,94.6,28.6,10,14,70,,12.2,9,0.207,12,0.5,6,51.6,32,0.519,17.3,14,46,0.435,20,1.0,3,"November 28, 2020",47.8,11,4.3,2,94.6,71.4,25,0.462,52,0.442,23,0.25,13,0.769,10,2,200,78.4,18.5,5,21,58,,12.2,9,0.269,14,0.143,2,48.4,30,0.498,28.5,23,38,0.553,21,0.333,1,"Germain Arena, Estero, Florida",NEBRASKA-OMAHA,Omaha,73.8,Away,ABILENE-CHRISTIAN,Abilene Christian
35.0,7,0.0,0,98.5,89.3,25,0.427,55,0.364,20,0.327,18,0.778,14,1,200,91.0,19.4,6,16,61,,9.0,6,0.527,29,0.241,7,52.5,31,0.48,13.7,10,26,0.5,13,0.5,1,"November 28, 2020",66.7,14,7.7,2,91.0,80.6,25,0.552,48,0.438,21,0.396,19,0.684,13,0,200,98.5,10.7,3,17,66,,7.5,5,0.521,25,0.44,11,47.5,28,0.579,18.7,13,23,0.435,10,1.0,1,"T-Mobile Arena, Las Vegas, Nevada",CAL-STATE-NORTHRIDGE,Cal State Northridge,67.3,Home,AIR-FORCE,Air Force
10.5,2,0.0,0,123.8,78.3,18,0.325,63,0.302,19,0.19,12,0.75,9,1,200,62.5,32.5,13,23,50,,2.5,2,0.254,16,0.188,3,49.2,31,0.364,23.5,21,47,0.34,16,0.0,0,"November 25, 2020",35.5,11,21.3,10,62.5,67.5,27,0.586,58,0.534,31,0.672,39,0.795,31,0,200,123.8,21.7,5,16,99,,16.3,13,0.259,15,0.4,6,50.8,32,0.647,12.8,11,43,0.581,25,1.0,1,"Bartow Arena, Birmingham, Alabama",ALCORN-STATE,Alcorn State,79.6,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
39.1,9,0.0,0,106.3,80.6,25,0.431,58,0.397,23,0.362,21,0.429,9,2,200,74.7,22.2,8,15,59,,2.5,2,0.362,21,0.19,4,49.3,33,0.434,22.0,19,37,0.514,19,0.0,0,"November 28, 2020",42.9,15,5.4,2,74.7,77.8,28,0.576,66,0.53,35,0.182,12,0.667,8,0,200,106.3,19.4,6,24,84,,15.2,12,0.348,23,0.261,6,50.7,34,0.586,15.4,13,43,0.674,29,1.0,2,"Bartow Arena, Birmingham, Alabama",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,78.8,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
52.6,10,4.3,2,103.8,59.6,28,0.341,69,0.275,19,0.246,17,0.588,10,1,200,73.1,36.7,18,20,57,,6.4,5,0.464,32,0.281,9,47.9,46,0.37,20.7,20,37,0.27,10,0.0,0,"November 25, 2020",36.7,11,8.1,3,73.1,63.3,31,0.435,77,0.39,30,0.26,20,0.7,14,0,200,103.8,40.4,19,17,81,,10.3,8,0.403,31,0.226,7,52.1,50,0.468,10.4,10,46,0.5,23,1.0,1,"Coleman Coliseum , Tuscaloosa, Alabama",JACKSONVILLE-STATE,Jacksonville State,78.3,Home,ALABAMA,Alabama
10.5,2,0.0,0,123.8,78.3,18,0.325,63,0.302,19,0.19,12,0.75,9,1,200,62.5,32.5,13,23,50,,2.5,2,0.254,16,0.188,3,49.2,31,0.364,23.5,21,47,0.34,16,0.0,0,"November 25, 2020",35.5,11,21.3,10,62.5,67.5,27,0.586,58,0.534,31,0.672,39,0.795,31,0,200,123.8,21.7,5,16,99,,16.3,13,0.259,15,0.4,6,50.8,32,0.647,12.8,11,43,0.581,25,1.0,1,"Bartow Arena, Birmingham, Alabama",ALCORN-STATE,Alcorn State,79.6,Home,ALABAMA-BIRMINGHAM,Alabama-Birmingham
46.9,15,6.3,3,76.3,77.4,41,0.573,62,0.516,32,0.21,13,0.769,10,0,200,101.3,41.9,13,13,81,,7.5,6,0.435,27,0.259,7,64.3,54,0.594,25.4,23,35,0.714,25,1.0,1,"November 25, 2020",50.0,12,0.0,0,101.3,58.1,18,0.344,80,0.3,24,0.138,11,0.545,6,1,200,76.3,22.6,12,14,61,,16.3,13,0.4,32,0.219,7,35.7,30,0.358,9.6,9,48,0.354,17,0.0,0,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,80.2,Away,APPALACHIAN-STATE,Appalachian State
66.7,6,6.3,3,141.9,43.2,16,0.22,50,0.18,9,0.06,3,0.333,1,0,200,31.1,5.1,2,14,23,,5.4,4,0.36,18,0.222,4,23.7,18,0.224,29.0,21,32,0.156,5,0.0,0,"November 27, 2020",48.7,19,21.9,7,31.1,94.9,37,0.545,78,0.5,39,0.282,22,0.909,20,0,200,141.9,56.8,21,10,105,,17.6,13,0.385,30,0.233,7,76.3,58,0.594,10.2,10,48,0.667,32,1.0,2,"Holmes Convocation Center, Boone, North Carolina","Carver College
			","Carver College
			",73.9,Home,APPALACHIAN-STATE,Appalachian State
